action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,600178,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,NC(CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1[C@H](CCc2ccccc2)[C@@H]1C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL319279,,CHEMBL319279,,0,http://www.openphacts.org/units/Nanomolar,179212,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,100.0
,,603860,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,CC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL439775,,CHEMBL439775,,0,http://www.openphacts.org/units/Nanomolar,179219,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,100.0
,,603868,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,CCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL99462,,CHEMBL99462,,0,http://www.openphacts.org/units/Nanomolar,179218,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,100.0
,,603876,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,CCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL329920,,CHEMBL329920,,0,http://www.openphacts.org/units/Nanomolar,179215,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,100.0
,,617798,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,CCCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL319732,,CHEMBL319732,4.25,0,http://www.openphacts.org/units/Nanomolar,179214,=,1,1,=,,IC50,nM,,56100.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,56.1
,,619058,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,N[C@](CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1C[C@@H]1C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL432038,,CHEMBL432038,5.09,0,http://www.openphacts.org/units/Nanomolar,179211,=,1,1,=,,IC50,nM,,8200.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,8.2
,,623953,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,CCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL95868,,CHEMBL95868,,0,http://www.openphacts.org/units/Nanomolar,179217,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,100.0
,,623961,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL97200,,CHEMBL97200,,0,http://www.openphacts.org/units/Nanomolar,179216,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,100.0
,,639060,[],CHEMBL823384,In vitro functional potency using an automated assay employing LtK-cells stably expressing human recombinant mGlu5 receptor by measuring changes in cytosolic [Ca2+] concentration,F,,,BAO_0000190,BAO_0000019,assay format,Cc1nc(C#Cc2cccnc2)cs1,,,CHEMBL1136508,Bioorg Med Chem Lett,2003,,CHEMBL292065,,CHEMBL292065,8.30,1,http://www.openphacts.org/units/Nanomolar,224357,=,1,1,=,,IC50,nM,,5.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,5.0
,,640174,[],CHEMBL715728,In vitro functional potency using an automated assay employing LtK-cells stably expressing human recombinant mGlu5 receptor by measuring changes in cytosolic [Ca2+] concentration,F,,,BAO_0000190,BAO_0000019,assay format,[3H]C([3H])([3H])Oc1cncc(C#Cc2ccccn2)c1,,,CHEMBL1136508,Bioorg Med Chem Lett,2003,,CHEMBL1169452,,CHEMBL118498,9.00,0,http://www.openphacts.org/units/Nanomolar,224352,=,1,1,=,,IC50,nM,,1.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,1.0
,,645046,[],CHEMBL823384,In vitro functional potency using an automated assay employing LtK-cells stably expressing human recombinant mGlu5 receptor by measuring changes in cytosolic [Ca2+] concentration,F,,,BAO_0000190,BAO_0000019,assay format,Cc1cncc(C#Cc2csc(C)n2)c1,,,CHEMBL1136508,Bioorg Med Chem Lett,2003,,CHEMBL332396,,CHEMBL332396,8.52,0,http://www.openphacts.org/units/Nanomolar,224354,=,1,1,=,,IC50,nM,,3.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,3.0
,,650993,[],CHEMBL823384,In vitro functional potency using an automated assay employing LtK-cells stably expressing human recombinant mGlu5 receptor by measuring changes in cytosolic [Ca2+] concentration,F,,,BAO_0000190,BAO_0000019,assay format,[3H]C([3H])([3H])OCc1cccc(C#Cc2cccc(C)n2)c1,,,CHEMBL1136508,Bioorg Med Chem Lett,2003,,CHEMBL2112677,,CHEMBL2219504,8.15,0,http://www.openphacts.org/units/Nanomolar,224353,=,1,1,=,,IC50,nM,,7.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,7.0
,,652240,[],CHEMBL823384,In vitro functional potency using an automated assay employing LtK-cells stably expressing human recombinant mGlu5 receptor by measuring changes in cytosolic [Ca2+] concentration,F,,,BAO_0000190,BAO_0000019,assay format,COCc1cncc(C#Cc2ccccn2)c1,,,CHEMBL1136508,Bioorg Med Chem Lett,2003,,CHEMBL332634,,CHEMBL332634,7.72,0,http://www.openphacts.org/units/Nanomolar,224356,=,1,1,=,,IC50,nM,,19.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,19.0
,,659484,[],CHEMBL715728,In vitro functional potency using an automated assay employing LtK-cells stably expressing human recombinant mGlu5 receptor by measuring changes in cytosolic [Ca2+] concentration,F,,,BAO_0000190,BAO_0000019,assay format,[3H]C([3H])([3H])OCc1cncc(C#Cc2csc(C)n2)c1,,,CHEMBL1136508,Bioorg Med Chem Lett,2003,,CHEMBL1169453,,CHEMBL420533,8.15,0,http://www.openphacts.org/units/Nanomolar,224355,=,1,1,=,,IC50,nM,,7.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,7.0
,,659486,[],CHEMBL715724,Binding affinity towards human mGlu5 receptors expressed in LtK-cells,B,,,BAO_0000190,BAO_0000219,cell-based format,[3H]C([3H])([3H])OCc1cncc(C#Cc2csc(C)n2)c1,,,CHEMBL1136508,Bioorg Med Chem Lett,2003,"{'bei': '29.99', 'le': '0.59', 'lle': '4.94', 'sei': '20.93'}",CHEMBL1169453,,CHEMBL420533,7.33,0,http://www.openphacts.org/units/Nanomolar,224355,=,1,1,=,,IC50,nM,,47.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,47.0
,,669518,[],CHEMBL715728,In vitro functional potency using an automated assay employing LtK-cells stably expressing human recombinant mGlu5 receptor by measuring changes in cytosolic [Ca2+] concentration,F,,,BAO_0000190,BAO_0000019,assay format,Cc1cccc(C#Cc2ccccc2)n1,,,CHEMBL1136508,Bioorg Med Chem Lett,2003,,CHEMBL66654,,CHEMBL66654,8.70,1,http://www.openphacts.org/units/Nanomolar,224351,=,1,1,=,,IC50,nM,,2.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,2.0
,,669520,[],CHEMBL715724,Binding affinity towards human mGlu5 receptors expressed in LtK-cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(C#Cc2ccccc2)n1,,,CHEMBL1136508,Bioorg Med Chem Lett,2003,"{'bei': '41.18', 'le': '0.72', 'lle': '5.17', 'sei': '61.74'}",CHEMBL66654,,CHEMBL66654,7.96,0,http://www.openphacts.org/units/Nanomolar,224351,=,1,1,=,,IC50,nM,,11.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,11.0
,,715695,[],CHEMBL819436,Compound was tested for functional response of human metabotropic glutamate receptor mGluR5a expressed in AV-12 cells by measuring inhibitory concentration towards quisqualate induced PI hydrolysis,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)O)ccc1[C@H](N)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130290,Bioorg Med Chem Lett,1997,,CHEMBL94631,,CHEMBL94631,,0,http://www.openphacts.org/units/Nanomolar,173625,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,717012,[],CHEMBL819436,Compound was tested for functional response of human metabotropic glutamate receptor mGluR5a expressed in AV-12 cells by measuring inhibitory concentration towards quisqualate induced PI hydrolysis,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)O)ccc1[C@H](N)C(=O)O,,,CHEMBL1130290,Bioorg Med Chem Lett,1997,,CHEMBL94631,,CHEMBL94631,,0,http://www.openphacts.org/units/Nanomolar,173620,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,100.0
,,721457,[],CHEMBL819436,Compound was tested for functional response of human metabotropic glutamate receptor mGluR5a expressed in AV-12 cells by measuring inhibitory concentration towards quisqualate induced PI hydrolysis,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)O)ccc1[C@H](N)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130290,Bioorg Med Chem Lett,1997,,CHEMBL94631,,CHEMBL94631,,0,http://www.openphacts.org/units/Nanomolar,173624,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,728621,[],CHEMBL819436,Compound was tested for functional response of human metabotropic glutamate receptor mGluR5a expressed in AV-12 cells by measuring inhibitory concentration towards quisqualate induced PI hydrolysis,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)O)c(O)cc1C(N)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130290,Bioorg Med Chem Lett,1997,,CHEMBL329905,,CHEMBL329905,,0,http://www.openphacts.org/units/Nanomolar,173622,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,742446,[],CHEMBL819436,Compound was tested for functional response of human metabotropic glutamate receptor mGluR5a expressed in AV-12 cells by measuring inhibitory concentration towards quisqualate induced PI hydrolysis,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@H](C(=O)O)c1ccc(C(=O)O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130290,Bioorg Med Chem Lett,1997,,CHEMBL94990,,CHEMBL94990,,0,http://www.openphacts.org/units/Nanomolar,173619,=,1,1,=,,IC50,nM,,155000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,155.0
,,747560,[],CHEMBL819436,Compound was tested for functional response of human metabotropic glutamate receptor mGluR5a expressed in AV-12 cells by measuring inhibitory concentration towards quisqualate induced PI hydrolysis,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1c(C(N)C(=O)O)ccc(C(=O)O)c1O,,,CHEMBL1130290,Bioorg Med Chem Lett,1997,,CHEMBL313124,,CHEMBL313124,,0,http://www.openphacts.org/units/Nanomolar,173621,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,100.0
,,829129,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2ccc(Cl)c(Cl)c2)C1,,,CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL59686,,CHEMBL59686,4.00,0,http://www.openphacts.org/units/Nanomolar,104350,=,1,1,=,,IC50,nM,,99000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,99.0
,,830163,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2ccccc2)C1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL60238,,CHEMBL60238,,0,http://www.openphacts.org/units/Nanomolar,104337,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,830169,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN1C[C@@](N)(C(=O)O)C[C@@H]1C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL59830,,CHEMBL59830,,0,http://www.openphacts.org/units/Nanomolar,104340,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,830175,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2ccc3ccccc3c2)C1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL61281,,CHEMBL61281,,0,http://www.openphacts.org/units/Nanomolar,104343,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,832486,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(CC2CCCCC2)C1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL418650,,CHEMBL418650,,0,http://www.openphacts.org/units/Nanomolar,104357,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,834865,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2ccccc2-c2ccccc2)C1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL293434,,CHEMBL293434,,0,http://www.openphacts.org/units/Nanomolar,104353,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,837262,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2cccc3ccccc23)C1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL302411,,CHEMBL302411,,0,http://www.openphacts.org/units/Nanomolar,104344,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,838523,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,CN1C[C@@](N)(C(=O)O)C[C@@H]1C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL300330,,CHEMBL300330,,0,http://www.openphacts.org/units/Nanomolar,104338,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,839671,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2cccc(Cl)c2)C1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL60008,,CHEMBL60008,,0,http://www.openphacts.org/units/Nanomolar,104341,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,841015,[],CHEMBL715725,In vitro antagonist activity at recombinant Metabotropic glutamate receptor 5 expressed in RGT cells.,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@@H](C[C@H](CCCC(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1130904,Bioorg Med Chem Lett,1998,,CHEMBL39338,,CHEMBL39338,,1,http://www.openphacts.org/units/Nanomolar,104352,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
